District,house_districts,Senator,Party,Assumed office
1,1,Dallas Heard,Republican,2018[a]
1,2,Dallas Heard,Republican,2018[a]
2,3,Herman Baertschiger Jr.,Republican,2013
2,4,Herman Baertschiger Jr.,Republican,2013
3,5,Jeff Golden,Democratic,2019
3,6,Jeff Golden,Democratic,2019
4,7,Floyd Prozanski,Democratic,2003
4,8,Floyd Prozanski,Democratic,2003
5,9,Arnie Roblan,Democratic,2013
5,10,Arnie Roblan,Democratic,2013
6,11,Lee Beyer,Democratic,2011
6,12,Lee Beyer,Democratic,2011
7,13,James Manning Jr.,Democratic,2017[a]
7,14,James Manning Jr.,Democratic,2017[a]
8,15,Sara Gelser,Democratic,2015
8,16,Sara Gelser,Democratic,2015
9,17,Fred Girod,Republican,2008[a]
9,18,Fred Girod,Republican,2008[a]
10,19,Denyc Boles[c],Republican,2019[a]
10,20,Denyc Boles[c],Republican,2019[a]
11,21,Peter Courtney,Democratic,1999
11,22,Peter Courtney,Democratic,1999
12,23,Brian Boquist,Republican,2009
12,24,Brian Boquist,Republican,2009
13,25,Kim Thatcher,Republican,2015
13,26,Kim Thatcher,Republican,2015
14,27,Mark Hass,Democratic,2007[a]
14,28,Mark Hass,Democratic,2007[a]
15,29,Chuck Riley,Democratic,2015
15,30,Chuck Riley,Democratic,2015
16,31,Betsy Johnson,Democratic,2007
16,32,Betsy Johnson,Democratic,2007
17,33,Elizabeth Steiner Hayward,Democratic,2012[a]
17,34,Elizabeth Steiner Hayward,Democratic,2012[a]
18,35,Ginny Burdick,Democratic,1997
18,36,Ginny Burdick,Democratic,1997
19,37,Rob Wagner,Democratic,2018[a]
19,38,Rob Wagner,Democratic,2018[a]
20,39,Alan Olsen,Republican,2011
20,40,Alan Olsen,Republican,2011
21,41,Kathleen Taylor,Democratic,2017
21,42,Kathleen Taylor,Democratic,2017
22,43,Lew Frederick,Democratic,2017
22,44,Lew Frederick,Democratic,2017
23,45,Michael Dembrow,Democratic,2013[a]
23,46,Michael Dembrow,Democratic,2013[a]
24,47,Shemia Fagan,Democratic,2019
24,48,Shemia Fagan,Democratic,2019
25,49,Laurie Monnes Anderson,Democratic,2005
25,50,Laurie Monnes Anderson,Democratic,2005
26,51,Chuck Thomsen,Republican,2010
26,52,Chuck Thomsen,Republican,2010
27,53,Tim Knopp,Republican,2013
27,54,Tim Knopp,Republican,2013
28,55,Dennis Linthicum,Republican,2017
28,56,Dennis Linthicum,Republican,2017
29,57,Bill Hansell,Republican,2013
29,58,Bill Hansell,Republican,2013
30,59,Lynn Findley[e],Republican,2020[a]
30,60,Lynn Findley[e],Republican,2020[a]